"GEO_ID","NAME","B08006_001E","B08006_001M","B08006_002E","B08006_002M","B08006_003E","B08006_003M","B08006_004E","B08006_004M","B08006_005E","B08006_005M","B08006_006E","B08006_006M","B08006_007E","B08006_007M","B08006_008E","B08006_008M","B08006_009E","B08006_009M","B08006_010E","B08006_010M","B08006_011E","B08006_011M","B08006_012E","B08006_012M","B08006_013E","B08006_013M","B08006_014E","B08006_014M","B08006_015E","B08006_015M","B08006_016E","B08006_016M","B08006_017E","B08006_017M","B08006_018E","B08006_018M","B08006_019E","B08006_019M","B08006_020E","B08006_020M","B08006_021E","B08006_021M","B08006_022E","B08006_022M","B08006_023E","B08006_023M","B08006_024E","B08006_024M","B08006_025E","B08006_025M","B08006_026E","B08006_026M","B08006_027E","B08006_027M","B08006_028E","B08006_028M","B08006_029E","B08006_029M","B08006_030E","B08006_030M","B08006_031E","B08006_031M","B08006_032E","B08006_032M","B08006_033E","B08006_033M","B08006_034E","B08006_034M","B08006_035E","B08006_035M","B08006_036E","B08006_036M","B08006_037E","B08006_037M","B08006_038E","B08006_038M","B08006_039E","B08006_039M","B08006_040E","B08006_040M","B08006_041E","B08006_041M","B08006_042E","B08006_042M","B08006_043E","B08006_043M","B08006_044E","B08006_044M","B08006_045E","B08006_045M","B08006_046E","B08006_046M","B08006_047E","B08006_047M","B08006_048E","B08006_048M","B08006_049E","B08006_049M","B08006_050E","B08006_050M","B08006_051E","B08006_051M",
"1600000US0614218","Clovis city, California","54758","1161","47708","1227","42455","1204","5253","697","3672","558","743","271","838","273","213","141","213","141","0","32","0","32","0","32","0","32","67","44","331","142","531","193","5908","723","28500","1031","25409","988","22989","1040","2420","391","1641","323","379","183","400","169","62","73","62","73","0","32","0","32","0","32","0","32","42","36","127","74","180","80","2680","449","26258","810","22299","951","19466","861","2833","471","2031","415","364","137","438","156","151","116","151","116","0","32","0","32","0","32","0","32","25","29","204","98","351","180","3228","479",
"1600000US0614232","Clyde CDP, California","315","167","257","145","257","145","0","14","0","14","0","14","0","14","21","32","0","14","21","32","0","14","0","14","0","14","0","14","10","19","0","14","27","32","144","118","144","118","144","118","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","171","102","113","76","113","76","0","14","0","14","0","14","0","14","21","32","0","14","21","32","0","14","0","14","0","14","0","14","10","19","0","14","27","32",
"1600000US0614260","Coachella city, California","20038","729","18767","790","16032","844","2735","536","1836","467","509","222","390","173","175","87","175","87","0","29","0","29","0","29","0","29","31","49","513","279","134","77","418","186","11215","686","10624","684","9074","731","1550","333","1019","303","348","181","183","102","108","68","108","68","0","29","0","29","0","29","0","29","31","49","276","187","30","36","146","113","8823","535","8143","587","6958","537","1185","335","817","284","161","96","207","135","67","65","67","65","0","29","0","29","0","29","0","29","0","29","237","135","104","70","272","123",
"1600000US0614274","Coalinga city, California","4911","526","4470","535","4006","527","464","243","360","212","24","25","80","109","0","21","0","21","0","21","0","21","0","21","0","21","0","21","90","83","0","21","351","148","2958","482","2733","472","2441","471","292","162","239","151","6","14","47","59","0","21","0","21","0","21","0","21","0","21","0","21","0","21","54","58","0","21","171","107","1953","269","1737","268","1565","259","172","108","121","88","18","20","33","51","0","21","0","21","0","21","0","21","0","21","0","21","0","21","36","56","0","21","180","93",
"1600000US0614288","Coarsegold CDP, California","1589","444","1204","404","1080","376","124","107","124","107","0","14","0","14","27","53","0","14","0","14","0","14","0","14","27","53","0","14","41","63","167","199","150","135","971","334","726","278","627","242","99","99","99","99","0","14","0","14","11","21","0","14","0","14","0","14","0","14","11","21","0","14","41","63","167","199","26","44","618","261","478","237","453","239","25","38","25","38","0","14","0","14","16","33","0","14","0","14","0","14","0","14","16","33","0","14","0","14","0","14","124","111",
"1600000US0614302","Cobb CDP, California","280","168","255","168","255","168","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","25","42","135","93","110","83","110","83","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","25","42","145","101","145","101","145","101","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0614406","Coffee Creek CDP, California","105","86","85","81","81","81","4","6","4","6","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","20","26","41","38","38","37","36","37","2","3","2","3","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","3","6","64","58","47","53","45","53","2","3","2","3","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","17","21",
"1600000US0614442","Cohasset CDP, California","236","155","236","155","226","147","10","32","10","32","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","141","89","141","89","141","89","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","95","81","95","81","85","77","10","32","10","32","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0614450","Cold Springs CDP (El Dorado County), California","334","202","266","187","247","177","19","30","0","14","0","14","19","30","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","68","89","154","101","129","95","129","95","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","25","42","180","108","137","97","118","87","19","30","0","14","0","14","19","30","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","43","50",
"1600000US0614454","Cold Springs CDP (Tuolumne County), California","6","8","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","6","8","6","8","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","6","8","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0614484","Coleville CDP, California","145","113","107","91","107","91","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","11","19","27","38","75","73","64","62","64","62","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","11","19","0","14","70","76","43","59","43","59","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","27","38",
"1600000US0614498","Colfax city, California","975","236","779","203","721","189","58","69","58","69","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","9","15","0","14","187","100","539","150","414","134","368","119","46","65","46","65","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","9","15","0","14","116","74","436","109","365","99","353","96","12","19","12","19","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","71","41",
"1600000US0614554","College City CDP, California","126","77","110","71","76","45","34","52","34","52","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","16","24","0","14","0","14","0","14","79","50","63","44","45","33","18","27","18","27","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","16","24","0","14","0","14","0","14","47","44","47","44","31","35","16","26","16","26","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0614708","Collierville CDP, California","838","294","687","283","680","282","7","12","5","11","2","4","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","151","112","458","153","387","158","385","158","2","4","0","14","2","4","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","71","71","380","174","300","161","295","159","5","11","5","11","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","80","101",
"1600000US0614736","Colma town, California","698","149","453","98","366","90","87","45","58","31","19","29","10","11","67","28","22","19","45","23","0","14","0","14","0","14","2","4","15","20","8","9","153","81","347","83","262","72","225","68","37","28","29","24","8","13","0","14","26","15","8","9","18","12","0","14","0","14","0","14","2","4","4","5","0","14","53","39","351","85","191","56","141","49","50","30","29","19","11","17","10","11","41","25","14","17","27","19","0","14","0","14","0","14","0","14","11","19","8","9","100","54",
"1600000US0614764","Coloma CDP, California","239","178","214","172","197","172","17","13","3","13","0","14","14","9","0","14","0","14","0","14","0","14","0","14","0","14","0","14","3","8","0","14","22","27","126","101","101","92","87","89","14","9","0","14","0","14","14","9","0","14","0","14","0","14","0","14","0","14","0","14","0","14","3","8","0","14","22","27","113","116","113","116","110","116","3","13","3","13","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0614890","Colton city, California","24400","1041","21315","1061","18672","1003","2643","506","1624","406","648","307","371","184","270","150","194","133","16","25","60","50","0","32","0","32","25","29","166","94","575","261","2049","800","13782","785","12111","733","10856","735","1255","331","841","276","282","180","132","107","173","129","134","115","16","25","23","29","0","32","0","32","25","29","80","61","221","128","1172","622","10618","752","9204","680","7816","675","1388","328","783","242","366","191","239","128","97","58","60","49","0","32","37","37","0","32","0","32","0","32","86","71","354","205","877","373",
"1600000US0614904","Columbia CDP, California","1084","285","733","184","677","166","56","48","43","43","13","20","0","14","12","24","12","24","0","14","0","14","0","14","0","14","0","14","91","79","0","14","248","189","529","184","317","133","292","118","25","30","25","30","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","58","49","0","14","154","142","555","163","416","115","385","113","31","35","18","28","13","20","0","14","12","24","12","24","0","14","0","14","0","14","0","14","0","14","33","40","0","14","94","80",
