"GEO_ID","NAME","B08006_001E","B08006_001M","B08006_002E","B08006_002M","B08006_003E","B08006_003M","B08006_004E","B08006_004M","B08006_005E","B08006_005M","B08006_006E","B08006_006M","B08006_007E","B08006_007M","B08006_008E","B08006_008M","B08006_009E","B08006_009M","B08006_010E","B08006_010M","B08006_011E","B08006_011M","B08006_012E","B08006_012M","B08006_013E","B08006_013M","B08006_014E","B08006_014M","B08006_015E","B08006_015M","B08006_016E","B08006_016M","B08006_017E","B08006_017M","B08006_018E","B08006_018M","B08006_019E","B08006_019M","B08006_020E","B08006_020M","B08006_021E","B08006_021M","B08006_022E","B08006_022M","B08006_023E","B08006_023M","B08006_024E","B08006_024M","B08006_025E","B08006_025M","B08006_026E","B08006_026M","B08006_027E","B08006_027M","B08006_028E","B08006_028M","B08006_029E","B08006_029M","B08006_030E","B08006_030M","B08006_031E","B08006_031M","B08006_032E","B08006_032M","B08006_033E","B08006_033M","B08006_034E","B08006_034M","B08006_035E","B08006_035M","B08006_036E","B08006_036M","B08006_037E","B08006_037M","B08006_038E","B08006_038M","B08006_039E","B08006_039M","B08006_040E","B08006_040M","B08006_041E","B08006_041M","B08006_042E","B08006_042M","B08006_043E","B08006_043M","B08006_044E","B08006_044M","B08006_045E","B08006_045M","B08006_046E","B08006_046M","B08006_047E","B08006_047M","B08006_048E","B08006_048M","B08006_049E","B08006_049M","B08006_050E","B08006_050M","B08006_051E","B08006_051M",
"1600000US0670770","Sebastopol city, California","3420","271","2078","267","1984","269","94","60","71","54","14","27","9","15","7","13","7","13","0","19","0","19","0","19","0","19","14","16","224","108","84","77","1013","172","1676","193","1101","203","1073","199","28","34","21","32","7","13","0","19","7","13","7","13","0","19","0","19","0","19","0","19","10","15","78","56","65","74","415","110","1744","189","977","147","911","147","66","49","50","45","7","15","9","15","0","19","0","19","0","19","0","19","0","19","0","19","4","7","146","78","19","22","598","136",
"1600000US0670798","Seeley CDP, California","509","228","453","220","441","222","12","18","0","14","0","14","12","18","0","14","0","14","0","14","0","14","0","14","0","14","0","14","16","26","0","14","40","45","331","175","331","175","331","175","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","178","146","122","141","110","139","12","18","0","14","0","14","12","18","0","14","0","14","0","14","0","14","0","14","0","14","0","14","16","26","0","14","40","45",
"1600000US0670882","Selma city, California","10233","729","9465","741","7774","647","1691","508","921","341","279","144","491","255","0","25","0","25","0","25","0","25","0","25","0","25","239","278","39","41","61","54","429","187","5981","675","5612","616","4646","489","966","363","551","255","170","86","245","181","0","25","0","25","0","25","0","25","0","25","0","25","212","279","0","25","36","38","121","90","4252","484","3853","483","3128","471","725","245","370","177","109","96","246","130","0","25","0","25","0","25","0","25","0","25","0","25","27","41","39","41","25","37","308","146",
"1600000US0670966","Sequoia Crest CDP, California","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0671000","Sereno del Mar CDP, California","55","51","40","46","40","46","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","7","11","0","14","8","11","40","46","40","46","40","46","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","15","17","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","7","11","0","14","8","11",
"1600000US0671078","Seville CDP, California","124","66","109","56","88","54","21","14","17","13","4","6","0","14","0","14","0","14","0","14","0","14","0","14","0","14","8","13","0","14","4","7","3","5","78","49","66","37","56","36","10","10","10","10","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","8","13","0","14","4","7","0","14","46","30","43","30","32","28","11","9","7","8","4","6","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","3","5",
"1600000US0671106","Shafter city, California","8341","450","7796","449","6758","447","1038","245","733","249","237","103","68","42","39","62","39","62","0","25","0","25","0","25","0","25","11","17","89","56","40","35","366","143","4704","283","4463","294","3995","318","468","164","380","159","48","54","40","31","0","25","0","25","0","25","0","25","0","25","0","25","11","17","43","45","30","32","157","68","3637","379","3333","356","2763","316","570","163","353","154","189","74","28","30","39","62","39","62","0","25","0","25","0","25","0","25","0","25","46","30","10","17","209","114",
"1600000US0671134","Shandon CDP, California","566","220","517","213","511","211","6","8","0","14","6","8","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","49","40","302","129","272","123","272","123","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","30","33","264","109","245","105","239","104","6","8","0","14","6","8","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","19","22",
"1600000US0671218","Shasta CDP, California","591","190","471","156","446","150","25","21","19","20","0","14","6","9","0","14","0","14","0","14","0","14","0","14","0","14","0","14","40","41","0","14","80","47","303","119","231","102","225","101","6","8","6","8","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","40","41","0","14","32","28","288","103","240","96","221","90","19","18","13","16","0","14","6","9","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","48","35",
"1600000US0671225","Shasta Lake city, California","4522","320","4149","322","3643","362","506","156","357","140","82","58","67","60","31","39","31","39","0","21","0","21","0","21","0","21","36","36","61","50","63","54","182","86","2466","288","2286","278","2052","277","234","88","164","79","53","60","17","19","0","21","0","21","0","21","0","21","0","21","0","21","14","23","26","28","63","54","77","65","2056","206","1863","207","1591","219","272","112","193","94","29","29","50","48","31","39","31","39","0","21","0","21","0","21","0","21","22","28","35","34","0","21","105","62",
